rank,rsId,lane,exc0,abs0,base,peakPhase,scale,srcW,srcH,bakeW,bakeH,srcGridExcessPct,material,severe
1,0x06003E9C,doors,2.9626,4.28,1.445,0,4,64,64,256,256,388.64,1,1
2,0x0600678A,props,2.0193,3.103,1.537,0,4,256,256,1024,1024,183.46,1,1
3,0x0600378C,doors,1.9467,10.497,5.392,0,4,256,256,1024,1024,41.56,1,1
4,0x06003C83,dungeons,1.8902,3.614,1.912,0,4,256,256,1024,1024,110.94,1,1
5,0x06003944,scenery,1.7874,12.768,7.143,0,4,256,128,1024,512,40.53,1,1
6,0x060043E8,dungeons,1.7246,2.416,1.401,0,4,512,512,2048,2048,116.57,1,0
7,0x06005DAB,props,1.6306,5.598,3.433,0,4,256,128,1024,512,27.7,1,1
8,0x060066B8,creatures,1.4731,5.877,3.99,0,4,128,128,512,512,34.62,1,1
9,0x06005D46,dungeons,1.3247,1.343,1.013,0,4,512,512,2048,2048,158.25,0,0
10,0x0600378D,props,1.3246,4.392,3.316,0,4,256,256,1024,1024,83.0,1,1
11,0x06003CA2,dungeons,1.3222,6.227,4.71,0,4,512,512,2048,2048,71.62,1,1
12,0x06006546,scenery,1.3133,2.645,2.014,0,4,64,128,256,512,243.95,1,1
13,0x06006440,props,1.2806,8.409,6.566,0,4,32,32,128,128,50.34,1,1
14,0x060048E7,props,1.2645,5.009,3.961,0,4,32,32,128,128,46.86,1,1
15,0x060039D0,doors,1.2569,2.562,2.038,0,4,16,128,64,512,,1,1
16,0x06003F0E,dungeons,1.2215,2.825,2.313,0,4,128,128,512,512,75.34,1,1
17,0x06003EB6,props,1.1967,10.506,8.779,4,4,16,16,64,64,,1,1
18,0x060048E9,props,1.1819,4.92,4.163,0,4,32,32,128,128,43.1,1,1
19,0x06003A9C,props,1.181,15.19,12.862,0,4,64,16,256,64,,1,1
20,0x06005A76,creatures,1.1794,5.682,4.818,0,4,256,256,1024,1024,46.96,1,1
21,0x06006BAC,dungeons,1.1684,2.027,1.735,0,4,256,256,1024,1024,125.27,1,0
22,0x06006BA1,dungeons,1.1644,3.678,3.159,0,4,256,256,1024,1024,96.42,1,1
23,0x06006BA3,dungeons,1.1264,1.908,1.694,0,4,256,256,1024,1024,128.05,1,0
24,0x06006BA4,dungeons,1.1264,1.908,1.694,0,4,256,256,1024,1024,128.05,1,0
25,0x06005DCA,scenery,1.0991,3.644,3.315,0,4,256,256,1024,1024,74.5,1,1
26,0x06005E17,creatures,1.0977,4.424,4.03,0,4,256,256,1024,1024,82.9,1,1
27,0x06005DA1,creatures,1.0793,2.652,2.457,0,4,128,128,512,512,94.7,1,1
28,0x06005D47,creatures,1.0613,4.35,4.099,0,4,128,256,512,1024,46.88,1,1
29,0x06005DC0,scenery,1.0546,3.585,3.4,0,4,256,256,1024,1024,75.47,1,1
30,0x06003C9D,dungeons,1.0325,4.047,3.919,0,4,512,256,2048,1024,66.69,1,1
31,0x06003E79,scenery,0.9911,2.419,2.441,3,4,64,32,256,128,52.03,1,0
32,0x06005DCB,scenery,0.9681,6.069,6.269,0,4,256,256,1024,1024,36.0,1,1
33,0x06003D66,dungeons,0.9578,2.889,3.017,0,4,128,128,512,512,56.99,1,1
34,0x06003808,scenery,0.956,6.581,6.883,0,4,256,256,1024,1024,44.09,1,1
35,0x06003847,scenery,0.9549,9.332,9.772,12,4,64,128,256,512,-3.19,1,1
36,0x06006BAB,dungeons,0.9532,2.589,2.716,0,4,256,256,1024,1024,93.92,1,1
37,0x06003C9E,dungeons,0.9514,5.699,5.99,0,4,512,256,2048,1024,57.18,1,1
38,0x060043E9,dungeons,0.9453,1.617,1.711,0,4,512,512,2048,2048,75.81,1,0
39,0x06003E20,doors,0.9383,1.992,2.123,0,4,128,256,512,1024,103.54,1,0
40,0x06003D6A,dungeons,0.9082,3.085,3.397,0,4,128,256,512,1024,58.99,1,1
41,0x06005DE5,scenery,0.9025,3.724,4.126,0,4,128,256,512,1024,60.62,1,1
42,0x0600507D,doors,0.9002,3.97,4.41,15,4,64,128,256,512,111.98,1,1
43,0x06003995,dungeons,0.8969,2.164,2.413,0,4,128,128,512,512,63.52,1,0
44,0x06003E5D,scenery,0.8957,1.282,1.432,0,4,128,128,512,512,116.38,0,0
45,0x06005DC9,scenery,0.8943,3.155,3.528,0,4,256,256,1024,1024,73.56,1,1
46,0x0600394E,scenery,0.8935,4.924,5.51,0,4,64,64,256,256,88.33,1,1
47,0x060047A6,scenery,0.8839,9.594,10.855,0,4,256,256,1024,1024,91.52,1,1
48,0x06006D98,creatures,0.8834,5.884,6.661,0,4,256,256,1024,1024,48.2,1,1
49,0x06005D9D,props,0.8821,2.384,2.702,0,4,256,256,1024,1024,93.12,1,0
50,0x06003D47,doors,0.8688,5.246,6.038,0,4,128,128,512,512,66.27,1,1
51,0x06006A0D,props,0.8687,4.767,5.488,0,4,512,512,2048,2048,61.21,1,1
52,0x06006BDD,scenery,0.8679,1.406,1.62,8,4,256,256,1024,1024,18.59,0,0
